uniqueDirectors
Joel Gallen
Willard Huyck
Shane Acker
Gary Goddard
Bryan Bertino
Eugene Forde
Sean McNamara
Banjong Pisanthanakun
Pawan Kumar
Stacy Peralta
Michael Ritchie
Jean-Luc Godard
Robert Wuhl
John Lee Hancock
Artie Mandelberg
Dick Huemer
David Koepp
William Riead
Saran
Lauren Himmel
Jamaa Fanaka
Robert Zemeckis
James Mangold
Joby Harold
Samuel Armstrong
Michael Corrente
Marius Markevicius
Luo Dong
Jay DiPietro
Lena Dunham
Tom Dey
Jacques Tourneur
Anthony Hemingway
Jun Falkenstein
Lewis Milestone
Conrad Vernon
Jonathan Dayton
Eric Bross
Dibakar Banerjee
Sean McConville
Martin Rosen
Jerry Jameson
Jimmy Hayward
Dmitriy Dyachenko
Adam Jay Epstein
F.W. Murnau
Keith Bearden
Steve Antin
Jocelyn Moorhouse
Ken Scott
Danny Steinmann
Arthur Mulholland
Michael Haneke
Maccio Capatonda
MichaÃ«l R. Roskam
Jim Abrahams
Vincent Paronnaud
Stuart Burge
Auli Mantila
Ryuichi Takamori
Renny Harlin
Bill Fishman
Cody Cameron
Pekka Karjalainen
Nicholas Ray
Thom Eberhardt
Greg Harrison
Edward L. Cahn
James Ponsoldt
Don Siegel
Marisa Silver
Tony Krantz
Ben Lewin
Richard Boleslawski
Nora Ephron
Reb Braddock
Stephen Sommers
Luc Jacquet
Howard Deutch
Robert Longo
Chatrichalerm Yukol
Nadia Tass
Anand Patwardhan
Eugene Abizov
GastÃ_n Duprat
Patrick Jean
Garth Jennings
Bruce A. Evans
Patricia Cardoso
Sangyoon Lim
Xavier Giannoli
Jeffrey W. Byrd
Paul Donovan
Gautham Vasudev Menon
Safy Nebbou
Joo-Young Ban
John Fortenberry
J.D. Dillard
Mike Thurmeier
David Hunt
Maryam Keshavarz
Vikramaditya Motwane
Ding Sheng
Tom Gries
Steven Knight
Terry George
Andy GarcÃ_a
George Gallo
Bob Rafelson
Seth MacFarlane
Matthew Chapman
Mani Ratnam
Kyle Balda
Vladimir Grammatikov
George Cukor
Robert Schwentke
Victor Saville
Abdellatif Kechiche
Steven Zaillian
Terence Fisher
Quentin Tarantino
Jeremy Saulnier
Tony Randel
Erik Estenberg
Charles Jarrott
Bob Giraldi
Dario Argento
Eric Brevig
Norman Jewison
John Lyde
Richard Donner
Neil Abramson
Michael G. Bartlett
Corneliu Porumboiu
Dito Montiel
Gus Van Sant
Fenton Bailey
Puneet Issar
Valeria Golino
Mario Andreacchio
Aristomenis Tsirbas
Nadezhda Kosheverova
Mimi Leder
Will Canon
Yorgos Lanthimos
Steve Beck
Doug Block
Jack Nicholson
Sam Irvin
David Jacobson
Rob Zombie
Harry Beaumont
Ted Berman
Stefan Haupt
Robert Wise
Deran Sarafian
Pavel Sanaev
David Lean
Sanjay Gadhvi
Judd Apatow
Gregory Hoblit
Stephen Cornwell
Feliks Falk
Richard Dutcher
Phil Joanou
Michael Miller
Rod Daniel
Yuri Mamin
Ari Sandel
Jericca Cleland
Justin Barber
Aaron Hann
Jim Mickle
Jim McBride
Lijo Jose Pellissery
John Gorrie
Stephen Frears
Joseph Zito
Kurt Wimmer
Ralph Zondag
Ted Post
Cy Endfield
Vincent Lannoo
Tom Mankiewicz
John McNaughton
Peter R. Hunt
John Bonito
Allan Dwan
Ken Loach
Kevin Costner
Henry Bean
Xavier Beauvois
Alan Shapiro
Arch Oboler
Sean Penn
Fred Zinnemann
Koji Hashimoto
Roger Spottiswoode
David Cronenberg
Christian E. Christiansen
Pedro Morelli
Jim Sharman
Vishal Bhardwaj
Terry Jones
Matthew Vaughn
John Herzfeld
Oren Kaplan
Pete Travis
Dawn Porter
Bob Odenkirk
Francis Ford Coppola
Sergei Loban
Jonathan Newman
Ryan Smith
Rusty Cundieff
Alex Cox
Shim Hyung-Rae
Frank Strecker
Maneesh Sharma
Eugene Jarecki
Jonathan Hensleigh
Ashwani Dhir
Mabrouk El Mechri
Robert Kurtzman
Bennett Miller
CÃ©dric Kahn
Ric Roman Waugh
Jacob Aaron Estes
Kees Van Oostrum
Sean Baker
Philip Kaufman
Jonathan Levine
Des McAnuff
Gordon Parks
Jean-Pierre Jeunet
Henry Selick
Sam Weisman
Jon Hess
Franco Zeffirelli
Jason Zada
Joseph Sargent
Taika Waititi
Les Mayfield
Dan Gilroy
Ron Krauss
Peter Sullivan
Ben Younger
Michele Placido
Stevan FilipoviÄ‡
Michael Clancy
Arthur Berthelet
Darren Stein
Catherine Hardwicke
Paul Gross
Kartal Tibet
Breck Eisner
Erik Matti
Joel Zwick
Jim Wynorski
Max Adams
Venkat Prabhu
Bob Misiorowski
Levan Gabriadze
Roman Polanski
Mervyn LeRoy
Claire Denis
Jason Moore
Chris Weitz
Hart Bochner
Stephen King
Jade Castro
Michael Cooney
David LaChapelle
Marc Lawrence
Michael Cristofer
Daniel Stamm
Jalil Lespert
Tom Schulman
Stephen Daldry
Joshua Michael Stern
Michel Hazanavicius
Dermot Mulroney
Austin Chick
Lana Wachowski
NicolÃ¡s LÃ_pez
John Francis Daley
Mark Waters
Richard C. Sarafian
Ferzan Ozpetek
Robert Mulligan
Kim Kwang-sik
Raymond Martino
Farah Khan
Stefano Mordini
Jonas Ã…kerlund
Vincente Minnelli
Ken Hughes
Robert Greenwald
Michael D. Sellers
Colin Lowrey
Robin Budd
Akiva Goldsman
David Lister
Fergal Reilly
Pavel Chukhray
Daniel Taplitz
David Lowell Rich
Scott Silver
Leon Ichaso
Ramin Bahrani
Giuseppe Capotondi
Elia Kazan
Kenny Ortega
Michael Worth
Paul Bartel
Sam Firstenberg
Mike Nichols
Alexander Payne
Mira Nair
Gore Verbinski
GÃ©rard Krawczyk
Tom McGrath
Bejoy Nambiar
Mike Binder
Dan Aykroyd
Lee Tamahori
Pang Ho-cheung
Mike Disa
Ivan Petukhov
Inna Evlannikova
Abe Sylvia
Scott Marshall
David Ogden
Park Hoon-Jung
Alfonso CuarÃ_n
Damiano Damiani
Pete Jones
Julia Ducournau
Paul Fenech
Scott Sanders
Ruggero Deodato
Claude Friese-Greene
Mark Tarlov
Ã‰mile Gaudreault
Charles Matthau
Anna Rose Holmer
Cristian Mungiu
Craig Macneill
Todd Robinson
Igor Voloshin
David Kellogg
StÃ©phane Aubier
Rob Pritts
Greg Mottola
LÃ¡szlÃ_ Benedek
Stuart Hazeldine
Roman Karimov
Cory Edwards
Daniel Petrie
Ken Russell
Angela Robinson
Karel Reisz
Frank Henenlotter
Jay Alaimo
Stephen Chbosky
Luca Bercovici
Peter Medak
William Friedkin
Lisanne Pajot
William Malone
John Sturges
Chris Stokes
Jon Turteltaub
Gary Sinyor
Justin Zackham
Arjun Sablok
Jingle Ma
Mark Pellington
Charles Stone III
Robert Stromberg
Garth Davis
Dror Moreh
David Bowers
Vic Armstrong
John Hughes
Ning Hao
Bryan Tucker
Steve Hickner
Michael Mann
Niall Johnson
William Gazecki
Gregory Jacobs
Jeffrey Blitz
Sylvio Tabet
Don Jones
Aleksey Mizgiryov
Jane Campion
Don Roos
Adam Shankman
AndrÃ© De Toth
Patricia MartÃ_nez de Velasco
Kuntaa Nikkil
Lee Il-hyeong
Marina Sargenti
Reshef Levy
Tommy Wirkola
Herschell Gordon Lewis
Hue Rhodes
Paul Andrew Williams
Neill Blomkamp
Anthony Hopkins
Michael Tuchner
Mike Cahill
Philip Saville
Todd Louiso
Leonard Nimoy
Hari
Jan Verheyen
Claude Lelouch
Mick Garris
Jim Hanon
Sam Levinson
Boris von Sychowski
KristÃ_f DeÃ¡k
Zbigniew Rybczynski
Jeff Franklin
Masayuki Ochiai
Tim Miller
Tony Bill
Justin Tipping
Kim Ki-duk
Audrey Dana
Richard Gabai
Newt Arnold
Sylvain Chomet
Glen Morgan
"""Jesse O'Brien"""
Carlos Saldanha
Larry Clark
Lucky McKee
S. Lee Pogostin
Esben TÃ¸nnesen
Michael Davis
Denzel Washington
Constantine Giannaris
KÃ¡roly Makk
Aleksei Sidorov
Michael Showalter
James Vanderbilt
Jonathan Kaplan
Jennifer Wynne Farmer
Richard Wenk
Wong Kar-wai
Giacomo Ciarrapico
Charles BinamÃ©
Lucy Walker
Tom Green
Russell Mulcahy
Woody Allen
Tim Burton
Mona Lerche
Gina Prince-Bythewood
Brian Dannelly
Klay Hall
Jeff Blyth
Adam Wingard
Bruce Beresford
Whit Stillman
Uwe Boll
Phil Vischer
Bobcat Goldthwait
Robert Luketic
Stephen Gaghan
Paul Weiland
Sergey Ivanov
Charlotte Boisson
Carl Rinsch
Edward Hall
Aki KaurismÃ_ki
Frank Lin
William A. Fraker
Bill Eagles
Bruce McDonald
Mic Rodgers
Lynn Shelton
Neil Nightingale
Gary Halvorson
Rick Hauser
Wesley Ruggles
Sajid Khan
Christophe Gans
John Carney
Benjamin Heisenberg
Clive Gordon
Francis Lawrence
Ingmar Bergman
Joe Swanberg
Roger Nygard
Coky Giedroyc
Deb Hagan
Viktor Sergeyev
Vincenzo Natali
RZA
Robert Altman
Joy Mathew
MaÅ‚gorzata Szumowska
Stephen J. Anderson
Paul Michael Glaser
Kevin Lima
Lu Chuan
Richard Greenberg
Greg McLean
Mel Brooks
Doug Atchison
John Waters
David Leland
Kleber MendonÃ§a Filho
Peter Pau
Gary Nelson
John G. Avildsen
Gleb Orlov
Jono Oliver
Q. Allan Brocka
Julien Duvivier
Jamie Travis
Taylor Hackford
Otto Preminger
Brett Simon
Peter Landesman
Stephen Kessler
Jean Negulesco
Daniel Barnz
Eldar Rapaport
Mike Gunther
Rohit Shetty
Gurinder Chadha
Mel Gibson
Adam McKay
Ben Gluck
Ranjith
Matthew Heineman
Andrew Bergman
Jon Gunn
Jamie Blanks
Howard Zieff
Fran Rubel Kuzui
Nettie Wild
Andrei Proshkin
Zhang Yimou
Mike Bigelow
Neill Fearnley
David Moreton
Paul Weitz
Joe Alves
Cheol-hie Park
Cheryl Dunye
Don Coscarelli
Monte Hellman
Mark Dindal
Anton Megerdichev
Gene Fowler Jr.
Reinhard Klooss
Goran Dukic
Alex Garland
Vladimir Shchegolkov
Jean-FranÃ§ois Richet
MarÃ§al ForÃ©s
Richard Eyre
Tim Fywell
Gareth Edwards
William Wyler
Emma-Kate Croghan
Efrem Pruzhanskiy
Karl Zwicky
Robert Conway
Bart Freundlich
Jerry Rees
Max Joseph
Steven Lisberger
Rob Schmidt
Peter Howitt
Raymond De Felitta
Logan Miller
F. Richard Jones
Richard Curtis
Konstantin Bronzit
Rouben Mamoulian
Charles Barton
Eric Blakeney
B Unnikrishnan
Luc Besson
Tony Goldwyn
Greg Beeman
Sung-hoon Kim
Peter Atencio
John A. Davis
Muriel Coulin
Sam Taylor
Cary Bell
Marek Nowicki
George Schaefer
Gregory Poirier
Tim Coleman
Josh Becker
Amma Asante
"""Dinesh D'Souza"""
Stuart Beattie
Tom Shoval
Vittorio De Sica
Sammo Hung
Joseph L. Mankiewicz
David de Vos
Robert Rossen
Peyton Reed
David Gelb
William Bindley
Scott McGehee
Isaac Florentine
Simon West
Reginald Hudlin
Oren Peli
Kim Han-min
Shekhar Kapur
Robert Moresco
Stig Bergqvist
Aleksey Andrianov
Michael McGowan
Lauren Lazin
Erik Gandini
Paul Maslansky
Michael Moore
William Nigh
Rowdy Herrington
Brad Copeland
B. Reeves Eason
Peter Lepeniotis
Stanley Kramer
Martha Holmes
Karel Zeman
Zal Batmanglij
Melissa Martin
Dominic Sena
Steven Quale
Dan St. Pierre
Sam Taylor-Johnson
Abel Ferrara
Adam Rifkin
Ram Madhvani
Ryan Coogler
Eugene Marner
Richard Shepard
Peter Sohn
Geoffrey Sax
Rob Cohen
Jon Erwin
Andrew Erwin
Brad Furman
Fletcher Markle
Lilly Wachowski
Brian Klugman
Joel Anderson
Chen Kaige
Patricia Rozema
Steven Hahn
Carl Colpaert
Richard Marquand
Elizabeth Allen Rosenbaum
Brillante Mendoza
D.J. Caruso
Peter Care
David MichÃ´d
Stephen Elliott
RÃºnar RÃºnarsson
Subodh Bhave
Mike Gabriel
Robert Dornhelm
Jon Favreau
Travis Knight
Nikhil Advani
Frank Darabont
Ford Beebe
Marco Schnabel
Peter Kassovitz
Kamal Sadanah
Anusha Rizvi
Jill Sprecher
Hendel Butoy
Salim Akil
"""Damien O'Donnell"""
Jorge Dorado
Kevin Greutert
Santosh Sivan
Patrick Keiller
Robert Sarkies
Ribhu Dasgupta
Darren Grant
Mastan Alibhai Burmawalla
Walter Lang
Guillermo del Toro
Agathiyan
"""Tommy O'Haver"""
Juan Antonio Bayona
Edward Zwick
Xavier Gens
Gilbert Adler
Ericson Core
Jim Fall
Alex Kendrick
Deniz Gamze ErgÃ_ven
Mary Harron
Fritz Lang
Richard Kelly
Conor McMahon
Harold Ramis
Allan Arkush
Ray Lawrence
Scott Hicks
Kevin Bray
Tibor HernÃ¡di
Tadayoshi Yamamuro
Nelson Shin
Rajkumar Santoshi
Seth Gordon
Andrey Zvyagintsev
Dmitri Meskhiyev
Ice Cube
Clint Eastwood
Georgiy Kropachyov
Rob Hardy
Nick Castle
Karey Kirkpatrick
Susanne Bier
Angel Gracia
Jake Goldberger
Gerard Johnstone
Simon Brand
John H. Lee
Gonzalo LÃ_pez-Gallego
Aleksander Bach
LaÃ_s Bodanzky
Geoff Burrowes
Lisa Cholodenko
Sam Fell
Larry Semon
Peter Cattaneo
Antonio Pietrangeli
Sheldon Lettich
Hoyt Yeatman
Jay Roach
Lina WertmÃ_ller
Eldar Salavatov
Chris Atkins
Giulio Manfredonia
Tommy Lee Jones
Norton Virgien
Roger Corman
Frank Passingham
Isao Takahata
Sam Mendes
Zach Braff
Frank Urson
William Conrad
Tay Garnett
John Stockwell
Dean Wright
Robert Aldrich
Shoojit Sircar
Zhang Meng
Julie Taymor
Bernard Rose
Ben van Lieshout
Richard Rush
Fred Durst
Ben Stiller
Joe Menendez
Phil Tucker
John Simpson
Lynne Ramsay
Scott Derrickson
Scott Kalvert
ÃÅlex de la Iglesia
Michael Sarne
Achero MaÃ±as
Chris Kentis
Paul Glickler
Lajos Koltai
Brian A Miller
Christopher Erskin
Satish Kaushik
Anna Foerster
John Moore
Kirill Kozlov
Peter Werner
Christian Alvart
Alfonso Gomez-Rejon
Christophe Van Rompaey
Johnnie To
Wes Anderson
Martin Scorsese
Paul Morrissey
Mario Van Peebles
Michel Deville
Bruce Hunt
John Lasseter
Alan J. Pakula
Tomm Moore
Spike Lee
Ted Demme
Hank Braxtan
Dax Shepard
Glenn Gordon Caron
Marc Webb
Gilles Mimouni
Lorene Scafaria
Nicholas Fackler
Yegor Konchalovsky
Christian Ditter
Hal Haberman
Charles B. Pierce
Peter Greenaway
Mia Hansen-LÃ¸ve
Don Michael Paul
S. Shankar
Chad Stahelski
David Burton Morris
Jake Paltrow
George A. Romero
George Seaton
Ron Underwood
David Raynr
Peter Faiman
Arie Posin
Brad Anderson
Ulu Grosbard
Perry Lang
Martin Prakkat
Mark Helfrich
Liam Lynch
Philip G. Atwell
Desmond Davis
Paul Johansson
Alice Wu
Jason Reitman
Frank Borzage
David Boyd
Michael Kang
Mike Mills
Steve Barron
Gabriele Muccino
Ben Howling
Robert Heath
Floria Sigismondi
Karan Malhotra
Campbell Scott
John Madden
Jimmy T. Murakami
Jay Duplass
Max Giwa
Ivan Reitman
Sanjay Leela Bhansali
Julian PÃ¶lsler
Oles Sanin
Ivan Shurhovetsky
Tinto Brass
Sean S. Cunningham
Peter Sollett
Elizabeth Wood
Brian Fee
Florent-Emilio Siri
Fernando LeÃ_n de Aranoa
Dan Kwan
Hype Williams
Douglas Day Stewart
Janusz KamiÅ„ski
Joshua Marston
Ted Kotcheff
Boris Sagal
Mark Robson
Eric Toledano
Masayuki Suo
Steven Brill
Mihalis Kakogiannis
Peter Hedges
Andrei Tarkovsky
Nancy Walker
George Hickenlooper
Chu Yen-ping
Alf SjÃ¶berg
Reinert Kiil
Philippe Caland
Christian Duguay
Josef von Sternberg
Park Kwang-hyun
Charles Ferguson
Matthew Warchus
Mark Sandrich
Alphonse Putharen
Jonathan Kesselman
Phillip Noyce
Renata Litvinova
James Bridges
Neil Burger
John Curran
Jeannot Szwarc
Andreas Kleinert
Jennifer Flackett
David Salle
Gene Kelly
Peter Weir
John Cassavetes
Miranda July
Sriram Raghavan
George B. Seitz
Henry Bromell
Sajid Nadiadwala
Daniel Schechter
Jack Clayton
Hans Canosa
Justin Lin
Sean Byrne
John Ford
Mark Rydell
Mark Pavia
Greg Berlanti
Franc. Reyes
Paul Dinello
Engin Orbey
Joachim RÃ¸nning
Oren Rudavsky
Kevin Macdonald
Nathan H. Juran
Brian Horiuchi
Apoorva Lakhia
Dewey Nicks
Guillaume Canet
Philip Moeller
Ram Gopal Varma
Michael Landon Jr.
Tommy Lee Wallace
Pa. Ranjith
Mary Lambert
Neal Israel
Andrew V. McLaglen
Jamie Uys
Vicente Amorim
Steve De Jarnatt
Bobby Roth
Pupi Avati
Nitesh Tiwari
Irwin Allen
Kim Longinotto
Martin Koolhoven
Til Schweiger
Hugh Hudson
Chuck Sheetz
Richard Attenborough
William Monahan
Rintaro
John Erick Dowdle
Stephen T. Kay
R.J. Cutler
Guy Green
John Newland
Lori Silverbush
Mark Griffiths
Peter H. Hunt
Costa-Gavras
Grigori Kozintsev
David Brooks
Andrzej Å»uÅ‚awski
Tom Harper
Lenny Abrahamson
David F. Sandberg
Julian Aymes
Antoine Fuqua
Mary McGuckian
Wuershan
Adam Green
Shona Auerbach
Pan Nalin
Ulli Lommel
H.B. Halicki
Scott Stewart
Ellory Elkayem
Park In-je
"""John 'Bud' Cardos"""
Daniel Junge
Keenen Ivory Wayans
Stiles White
Alan Smithee
Richard Lester
Eugenio Derbez
Ross Katz
Lesli Linka Glatter
Brendan Malloy
Robert Redford
Brandon Camp
Scott Waugh
EugÃ¨ne LouriÃ©
Leslye Headland
Roger Donaldson
Roger Avary
John Badham
Joel Schumacher
Rich Moore
Ted Koland
Gregory Nava
Richard Glatzer
Jennifer Chambers Lynch
John Woo
Vadim Perelman
Aditya Chopra
Peter Yates
Dan Scanlon
C. Jay Cox
Robert Lieberman
Alejandro AmenÃ¡bar
Ã‡etin InanÃ§
Patty Jenkins
Jodie Foster
Stan Winston
Chris Wedge
Kriv Stenders
Neeraj Pandey
Sterling Van Wagenen
Michael J. Bassett
Susan Seidelman
K. V. Anand
Roland Emmerich
Dominic Burns
Justin Paul Miller
Pyotr Buslov
Harold S. Bucquet
Kyle Lawrence
FÃ©lix EnrÃ_quez AlcalÃ¡
Kang Hyeong-Cheol
YÄ±lmaz GÃ_ney
Kenneth Johnson
David M. Rosenthal
Jon Knautz
Bob Spiers
Morten Tyldum
Abhishek Chaubey
Charles Herman-Wurmfeld
Alan Clarke
Philip Zlotorynski
Kenneth Bi
Henry Cass
Hal E. Chester
Charles Crichton
Mark Steven Johnson
Shinji Aramaki
David E. Talbert
Douglas Aarniokoski
Spencer Gordon Bennet
Mort Nathan
Erik SkjoldbjÃ_rg
Deborah Anderson
Drew Maxwell
Oliver Hirschbiegel
Philipp StÃ¶lzl
Marc Abraham
Mika KaurismÃ_ki
Tom Ford
John Turturro
Paolo Sorrentino
Urban Gad
Harry Elfont
Indar Dzhendubaev
Sergei Bodrov
Eric Summer
Olatunde Osunsanmi
Ole Bornedal
Brian De Palma
Denise Di Novi
Alejandro FernÃ¡ndez Almendras
James Foley
James Whale
Nicole Garcia
Stephan Brenninkmeijer
Karen Moncrieff
Bruce McCulloch
Jim Gillespie
Michel O. Scott
Jeff Pollack
Ang Lee
Jesse Dylan
Diana Whitten
Victor Fleming
Josh Schwartz
Kelly Fremon Craig
Rodrigo GarcÃ_a
Jacques Audiard
Tony Gilroy
Brian G. Hutton
Rohan Sippy
Lewis Seiler
Betty Thomas
Todd Haynes
Craig Bolotin
Delbert Mann
E.L. Katz
Jay Oliva
Nigel Cole
Courtney Solomon
Dick Clement
Tim Story
Eran Creevy
Sam Raimi
Stephen Chow
Timur Bekmambetov
Michael Steinberg
Tony Scott
Steve Carver
Greg Coolidge
Liv Ullmann
Gavin Hood
Tim McCanlies
Sergio Castellitto
Eric Nicholas
Simon Hunter
Komkris Triwimol
Walter Murch
Hans Petter Moland
Dominik Moll
Alain Jessua
Lone Scherfig
Edward Berger
Ursula Meier
Alex van Warmerdam
Franklin J. Schaffner
Massy Tadjedin
Ryan Gosling
Jeremy Leven
Madonna
Mohamed Khan
Alfred Hitchcock
Michael Cuesta
Roger Young
Steve Oedekerk
Agnieszka Holland
Anthony Waller
Chris Eyre
Ron Clements
Jack Smight
Giuseppe Tornatore
Olaf de Fleur Johannesson
Fiorella Infascelli
Nina Gilden Seavey
Camille Delamarre
Paul Abascal
SrÄ‘an DragojeviÄ‡
Dan Rush
Florian Henckel von Donnersmarck
Ridley Scott
Eric Lavaine
Nick Gomez
Jonathan Demme
"""Chris D'Arienzo"""
Jim Issa
Andrew Douglas
Yoon Je-kyoon
Randall Miller
Jeremy Garelick
Teddy Chan
Heddy Honigmann
Susan Montford
Daniel Espinosa
Timo Vuorensola
Lee Harry
Jack Heller
Diarmuid Lawrence
Ernst Lubitsch
Werner Herzog
Christopher Leitch
Rupert Julian
JosÃ©e Dayan
Leonel Vieira
Randal Kleiser
Paul Tibbitt
Richard Thorpe
Robert Stevenhagen
Roland JoffÃ©
Patrick Alessandrin
Stefan Ruzowitzky
Susannah Grant
Jude Anthany Joseph
Lexi Alexander
Jeethu Joseph
Jon S. Baird
Martha Fiennes
Stephen Roberts
Taylor Sheridan
Rob Hedden
Michael Winner
Duncan Jones
Dan Curtis
Nash Edgerton
Morgan Spurlock
Lowell Sherman
Kim Nguyen
Ciaran Foy
Andy Fickman
Harold Becker
Ben Kellett
Jon Stewart
Julian Gilbey
Greydon Clark
Mark Mylod
Spike Jonze
Nicholas Jasenovec
John Michael McDonagh
Anthony Stacchi
Jon Cassar
Christopher Scott Cherot
Catherine Jelski
Rand Ravich
Josh Gordon
Jean-Marie PoirÃ©
Neal Slavin
Craig Monahan
Steven R. Monroe
Terry Zwigoff
John McTiernan
John Sayles
George Miller
Juhn Jai-hong
Eduardo Mignogna
Rod Holcomb
Nikolai MÃ_llerschÃ¶n
Philip Sansom
Todd Holland
Jerusha Hess
Walter C. Miller
F. Gary Gray
Frederick Wiseman
Todd Field
Cristina Comencini
Eric Wirix
Mickey Liddell
David Winters
Pedro AlmodÃ_var
Nicole Holofcener
FranÃ§ois Ozon
Hayao Miyazaki
Rowland V. Lee
Martin Davidson
Noel Marshall
Radha Bharadwaj
Ricky Gervais
Gilles Paquet-Brenner
Damien Dante Wayans
Kanji Nakajima
Agnieszka Wojtowicz-Vosloo
David Schwimmer
John Dahl
Ralph S. Singleton
Juan Diego Solanas
Byron Haskin
John Schultz
Shane Black
Vipul Amrutlal Shah
Wilson Yip
Stephan Elliott
Jason Stone
David O. Russell
Joel Bergvall
Pascal Chaumeil
Marielle Heller
Paul Auster
Douglas McGrath
Frederik Du Chau
Denis Villeneuve
Bryan Foy
Guy Moshe
Leslie Zemeckis
Peter Chan
Troy Nixey
Penelope Spheeris
Todd Lincoln 
J. F. Lawton
Anurag Basu
Christopher Guest
Jason Trost
Demian Lichtenstein
Andrea Tonacci
Kevin Hooks
Richard Rich
James Melkonian
Charles S. Dutton
Mike Mitchell
Susan Buice
Tom Tykwer
Michael Gornick
Walter Woodman
John Payson
Ettore Scola
Huck Botko
Vetrimaran
Julian Roffman
Fernando Di Leo
Pierre Morel
Anthony Hickox
Stanley Kubrick
Charles Grosvenor
Steve Bendelack
Svyatoslav Podgayevskiy
Radu Jude
Jayro Bustamante
John Asher
Charlie Chaplin
Geoff Murphy
Melvin Frank
Hiromasa Yonebayashi
Barry Cook
Walter Hill
Clark Gregg
Michael Dinner
Alan Cohn
Robert Sigl
Jim Wilson
Ham Tran
Richard Raymond
Nnegest LikkÃ©
Abbas Tyrewala
Gregory Wilson
Fernando Meirelles
John Schlesinger
Boaz Yakin
Jake Schreier
ShÃ´hei Imamura
Ilya Maksimov
Reverge Anselmo
Nikita Mikhalkov
Robert Lorenz
Anthony Asquith
JÃ¶rn Donner
Edward Dmytryk
Charlie Levi
Nanette Burstein
Rowan Joffe
James Kirkwood
Gary McKendry
Colin Nutley
Andrew Haigh
David Atkins
Eric Darnell
Eran Riklis
Lew Landers
Daryl Wein
Andy de Emmony
Kerry Conran
Craig Brewer
David Nutter
Thomas Langmann
Chris Morris
Perry Andelin Blake
William Shatner
Bronwen Hughes
JosÃ© Luis Cuerda
Marcel Langenegger
Peter MacDonald
Thomas Carter
John Bruno
Michael Almereyda
Steve Gomer
Rob Marshall
Jan de Bont
Paco Cabezas
Sabbir Khan
Anders Anderson
Tim Hill
Orson Welles
Claudia Llosa
Rawson Marshall Thurber
Nagaoka Hisaaki
Harley Cokeliss
Edward Burns
Marah Strauch
Chris Miller
Asif Kapadia
Robert B. Weide
Wayne Kramer
Lloyd Kaufman
Adrian Lyne
Frank Lloyd
Iain Softley
Michael Dowse
Eduardo Villanueva JimÃ©nez
Nick Weiss
Zack Ward
JosÃ© Ferrer
Asia Argento
Jason Eisener
Sam Wanamaker
Courtney Hunt
Bryan Spicer
David Hand
Andrei Konchalovsky
John Erman
Ari Folman
Trey Nelson
Simon Verhoeven
Jeb Stuart
Antonio Banderas
Derrick Borte
David Lynch
Blake Edwards
Elisabeta Bostan
David Wain
Franck Khalfoun
Homi Adajania
Joe Roth
Geoff Moore
Rich Christiano
William Beaudine
Tony Giglio
Goro Miyazaki
Billy Weber
Baltasar KormÃ¡kur
Raman Hui
Juraj Herz
Danny Leiner
Josef Rusnak
Delmer Daves
Chad Hartigan
James DeMonaco
Andy Wilson
Menahem Golan
Trevor Wall
Kabir Sadanand
Pat Bermel
Elliott Nugent
Steffen Haars
Edward Norton
Patrick Stettner
Randall Rubin
Hal Needham
Ulrich Seidl
Christine Fugate
Andrew Sipes
Anthony Leonardi III
Jonathan Mostow
Shari Springer Berman
Stacie Passon
Anton Corbijn
Billy Bob Thornton
Dylan Baker
King Vidor
Lee David Zlotoff
Steve McQueen
Martin McDonagh
Tom Savini
Ovidio G. Assonitis
Doug McHenry
Umberto Lenzi
Patrick Lussier
Vicky Jenson
Maren Ade
Bill Melendez
Zoya Akhtar
Tony Maylam
JosÃ© Corbacho
Dave Filoni
Jay Chandrasekhar
David Silverman
Gaston Biraben
Justin Price
Tim Pope
John Krasinski
Victor SjÃ¶strÃ¶m
Scott Dow
Marc Evans
Heidi Ewing
Daniele Luchetti
Michael Dougherty
Charles Marquis Warren
Thomas Schlamme
Dick Powell
Kevin Yagher
David Bruckner
Gary Hardwick
Erich von Stroheim
Louis Leterrier
Martin Donovan
Sanaa Hamri
Damien Chazelle
Kieran Darcy-Smith
Barry Jenkins
Jaume BalaguerÃ_
Steve James
Zeki Demirkubuz
M. Night Shyamalan
Albert Pyun
Ben Garant
Alan Alda
Elaine May
Harold Cronk
Seth Rogen
Michael Schultz
Joseph Henabery
Guy Ritchie
George Tillman
Gary Chapman
Peter Farrelly
Kristian Levring
Michael D. Akers
Roger Kumble
Allan A. Goldstein
"""Gavin O'Connor"""
Eli Roth
Mark Osborne
Jennie Livingston
Justin Kerrigan
Terence Davies
Michel Gondry
Charles Burnett
Alain Fresnot
GÃ¡bor CsupÃ_
Oliver Parker
Michael Sucsy
David S. Ward
Joe Johnston
Peter Segal
Galt Niederhoffer
Nick Ormerod
Joe Camp
Steven Seagal
Alex Rivera
Ronald Neame
Kevin Allen
J. Lee Thompson
Shana Feste
Oleg Stepchenko
Colin Higgins
Bruce Paltrow
Matt Reeves
Pierre Coffin
Andrew Niccol
Eric Eason
Chris Kraus
Louis C.K.
Michael O. Sajbel
Stanley Donen
Anne Fletcher
Peter Kosminsky
Don Bluth
