title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors
Cube,Cube,250000,501818.0,251818.0,1,1,2,90.0,Thriller,17,"Thriller,Science Fiction,Mystery",1997-09-09,Vincenzo Natali,Nicole de Boer
Simon Birch,Simon Birch,20000000,18253415.0,-1746585.0,0,0,1,114.0,Comedy,3,"Comedy,Drama,Family",1998-09-11,Mark Steven Johnson,Ashley Judd
Without Limits,Without Limits,25000000,777423.0,-24222577.0,0,0,1,117.0,Drama,6,Drama,1998-09-11,Robert Towne,Billy Crudup
Broadcast News,Broadcast News,20000000,51249404.0,31249404.0,1,0,1,133.0,Comedy,3,"Comedy,Drama,Romance",1987-12-16,James L. Brooks,William Hurt
Working Girl,Working Girl,28000000,103173635.0,75173635.0,1,0,2,114.0,Comedy,3,"Comedy,Drama,Romance",1988-12-20,Mike Nichols,Harrison Ford
Married to the Mob,Married to the Mob,10000000,21486757.0,11486757.0,1,0,1,104.0,Comedy,3,"Comedy,Crime,Romance",1988-08-19,Jonathan Demme,Michelle Pfeiffer
Parasite,Parasite,800000,7000000.0,6200000.0,1,0,1,85.0,Horror,11,"Horror,Science Fiction",1982-03-12,Charles Band,Robert Glaudini
Nothing but Trouble,Nothing but Trouble,40000000,8479793.0,-31520207.0,0,0,1,94.0,Comedy,3,"Comedy,Adventure",1991-02-14,Dan Aykroyd,Chevy Chase
A Few Good Men,A Few Good Men,40000000,243240178.0,203240178.0,1,0,1,138.0,Drama,6,Drama,1992-12-11,Rob Reiner,Tom Cruise
Indecent Proposal,Indecent Proposal,38000000,266614059.0,228614059.0,1,0,1,117.0,Drama,6,Drama,1993-04-07,Adrian Lyne,Robert Redford
Rush Hour,Rush Hour,33000000,244386864.0,211386864.0,1,1,1,98.0,Action,0,"Action,Comedy,Crime,Thriller",1998-09-18,Brett Ratner,Jackie Chan
Six-String Samurai,Six-String Samurai,2000000,124494.0,-1875506.0,0,0,1,91.0,Action,0,"Action,Adventure,Science Fiction",1998-09-18,Lance Mungia,Jeffrey Falcon
Ronin,Ronin,55000000,41610884.0,-13389116.0,0,0,3,122.0,Action,0,"Action,Thriller,Crime,Adventure",1998-09-25,John Frankenheimer,Robert De Niro
Urban Legend,Urban Legend,14000000,72527595.0,58527595.0,1,1,2,99.0,Horror,11,"Horror,Thriller",1998-09-25,Jamie Blanks,Alicia Witt
The Sheltering Sky,The Sheltering Sky,25000000,2075084.0,-22924916.0,0,0,3,138.0,Adventure,1,"Adventure,Drama,Romance",1990-10-24,Bernardo Bertolucci,Debra Winger
The Thing,The Thing,15000000,19629760.0,4629760.0,1,1,2,109.0,Horror,11,"Horror,Mystery,Science Fiction",1982-06-25,John Carpenter,Kurt Russell
The Player,The Player,8000000,21706101.0,13706101.0,1,0,1,124.0,Comedy,3,"Comedy,Drama",1992-04-03,Robert Altman,Tim Robbins
Stardust Memories,Stardust Memories,10000000,10389003.0,389003.0,1,0,1,89.0,Comedy,3,"Comedy,Drama,Romance",1980-09-26,Woody Allen,Woody Allen
Edward Scissorhands,Edward Scissorhands,20000000,53000000.0,33000000.0,1,0,1,105.0,Fantasy,8,"Fantasy,Drama,Romance",1990-12-05,Tim Burton,Johnny Depp
Antz,Antz,60000000,171757863.0,111757863.0,1,0,1,83.0,Adventure,1,"Adventure,Animation,Comedy,Family",1998-10-02,Eric Darnell,Woody Allen
A Night at the Roxbury,A Night at the Roxbury,17000000,30331165.0,13331165.0,1,0,1,81.0,Comedy,3,Comedy,1998-10-01,John Fortenberry,Will Ferrell
What Dreams May Come,What Dreams May Come,85000000,71485043.0,-13514957.0,0,0,1,113.0,Drama,6,"Drama,Fantasy,Romance",1998-10-02,Vincent Ward,Robin Williams
Strangeland,Strangeland,1100000,631221.0,-468779.0,0,0,1,86.0,Horror,11,Horror,1998-10-02,John Pieplow,Kevin Gage
History of the World: Part I,History of the World: Part I,11000000,31672907.0,20672907.0,1,0,3,92.0,Comedy,3,Comedy,1981-06-12,Mel Brooks,Mel Brooks
My Cousin Vinny,My Cousin Vinny,11000000,64088552.0,53088552.0,1,0,1,120.0,Comedy,3,"Comedy,Drama",1992-03-13,Jonathan Lynn,Joe Pesci
2010,2010,28000000,40400657.0,12400657.0,1,1,2,116.0,Thriller,17,"Thriller,Science Fiction",1984-12-06,Peter Hyams,Roy Scheider
The Elephant Man,The Elephant Man,5000000,26010864.0,21010864.0,1,0,1,124.0,Drama,6,"Drama,History",1980-10-02,David Lynch,Anthony Hopkins
Bride of Chucky,Bride of Chucky,25000000,50671850.0,25671850.0,1,1,1,89.0,Horror,11,"Horror,Comedy",1998-10-16,Ronny Yu,Ed Gale
Practical Magic,Practical Magic,75000000,46683377.0,-28316623.0,0,0,1,104.0,Drama,6,"Drama,Fantasy,Comedy",1998-10-16,Griffin Dunne,Sandra Bullock
Happiness,Happiness,3000000,2807390.0,-192610.0,0,0,2,139.0,Comedy,3,"Comedy,Drama",1998-10-16,Todd Solondz,Jane Adams
Soldier,Soldier,75000000,14567883.0,-60432117.0,0,0,1,99.0,Action,0,"Action,War,Science Fiction",1998-10-23,Paul W.S. Anderson,Kurt Russell
Life Is Beautiful,La vita è bella,20000000,229400000.0,209400000.0,1,0,3,116.0,Comedy,3,"Comedy,Drama",1997-12-20,Roberto Benigni,Nicoletta Braschi
Tales from the Darkside: The Movie,Tales from the Darkside: The Movie,3500000,16324573.0,12824573.0,1,0,1,93.0,Thriller,17,"Thriller,Comedy,Fantasy,Horror",1990-05-03,John Harrison,Deborah Harry
American History X,American History X,20000000,23875127.0,3875127.0,1,0,1,119.0,Drama,6,Drama,1998-10-30,Tony Kaye,Edward Norton
Living Out Loud,Living Out Loud,12000000,12902790.0,902790.0,1,0,1,100.0,Comedy,3,"Comedy,Drama,Romance",1998-10-30,Richard LaGravenese,Holly Hunter
Gods and Monsters,Gods and Monsters,10000000,6451628.0,-3548372.0,0,0,2,105.0,Drama,6,Drama,1998-01-21,Bill Condon,Ian McKellen
The Siege,The Siege,70000000,116672912.0,46672912.0,1,0,3,116.0,Drama,6,"Drama,Action,Thriller,Crime",1998-11-06,Edward Zwick,Denzel Washington
The Waterboy,The Waterboy,23000000,185991646.0,162991646.0,1,0,1,90.0,Comedy,3,Comedy,1998-11-06,Frank Coraci,Adam Sandler
Elizabeth,Elizabeth,30000000,82150642.0,52150642.0,1,1,2,124.0,Drama,6,"Drama,History",1998-09-13,Shekhar Kapur,Cate Blanchett
I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,65000000,40002112.0,-24997888.0,0,1,1,100.0,Horror,11,"Horror,Mystery,Thriller",1998-11-13,Danny Cannon,Jennifer Love Hewitt
Meet Joe Black,Meet Joe Black,90000000,142940100.0,52940100.0,1,0,1,178.0,Fantasy,8,"Fantasy,Drama,Mystery",1998-11-12,Martin Brest,Brad Pitt
Runaway Train,Runaway Train,9000000,7936012.0,-1063988.0,0,0,1,111.0,Action,0,"Action,Thriller",1985-11-15,Andrei Konchalovsky,Jon Voight
Sid & Nancy,Sid & Nancy,4000000,2826523.0,-1173477.0,0,0,1,111.0,Drama,6,"Drama,Music,Romance",1986-11-07,Alex Cox,Gary Oldman
Enemy of the State,Enemy of the State,90000000,250649836.0,160649836.0,1,0,1,132.0,Action,0,"Action,Drama,Thriller",1998-11-20,Tony Scott,Will Smith
The Rugrats Movie,The Rugrats Movie,30000000,100491683.0,70491683.0,1,1,1,79.0,Animation,2,"Animation,Family",1998-11-20,Norton Virgien,Whoopi Goldberg
A Bug's Life,A Bug's Life,120000000,363258859.0,243258859.0,1,0,1,95.0,Adventure,1,"Adventure,Animation,Comedy,Family",1998-11-25,John Lasseter,Kevin Spacey
Central Station,Central do Brasil,2900000,5596708.0,2696708.0,1,0,1,113.0,Drama,6,Drama,1998-01-16,Walter Salles,Fernanda Montenegro
Pink Flamingos,Pink Flamingos,12000,6000000.0,5988000.0,1,0,1,93.0,Horror,11,"Horror,Comedy,Crime",1972-03-12,John Waters,Divine
Godzilla 1985,Godzilla 1985,2000000,4100000.0,2100000.0,1,1,3,87.0,Action,0,"Action,Drama,Horror,Science Fiction,Thriller",1984-12-15,Koji Hashimoto,Ken Tanaka
King Kong,King Kong,672000,10000000.0,9328000.0,1,1,1,100.0,Action,0,"Action,Adventure,Drama,Horror",1933-04-07,Merian C. Cooper,Robert Armstrong
King Kong,King Kong,23000000,90614445.0,67614445.0,1,1,1,134.0,Adventure,1,"Adventure,Drama",1976-09-08,John Guillermin,Jeff Bridges
King Kong Lives,King Kong Lives,10000000,4711220.0,-5288780.0,0,1,1,105.0,Action,0,"Action,Horror",1986-11-21,John Guillermin,Jeff Bridges
Desperately Seeking Susan,Desperately Seeking Susan,5000000,27400000.0,22400000.0,1,0,1,104.0,Comedy,3,Comedy,1985-03-29,Susan Seidelman,Madonna
Fletch,Fletch,8000000,59612888.0,51612888.0,1,1,1,98.0,Comedy,3,"Comedy,Crime,Mystery",1985-05-31,Michael Ritchie,Chevy Chase
Fletch Lives,Fletch Lives,8045760,35150960.0,27105200.0,1,1,1,95.0,Comedy,3,"Comedy,Crime,Mystery",1989-03-17,Michael Ritchie,Chevy Chase
Red Sonja,Red Sonja,17900000,6948633.0,-10951367.0,0,1,1,89.0,Adventure,1,"Adventure,Fantasy,Action",1985-04-09,Richard Fleischer,Arnold Schwarzenegger
The Money Pit,The Money Pit,10000000,54999651.0,44999651.0,1,0,1,91.0,Comedy,3,"Comedy,Romance",1986-03-15,Richard Benjamin,Tom Hanks
A View to a Kill,A View to a Kill,30000000,152427960.0,122427960.0,1,1,1,131.0,Adventure,1,"Adventure,Action,Thriller",1985-05-24,John Glen,Roger Moore
Police Academy,Police Academy,4500000,146198896.0,141698896.0,1,1,1,96.0,Comedy,3,"Comedy,Crime",1984-03-22,Hugh Wilson,Steve Guttenberg
Babe: Pig in the City,Babe: Pig in the City,90000000,69131860.0,-20868140.0,0,1,1,92.0,Adventure,1,"Adventure,Comedy,Drama,Family,Fantasy",1998-11-25,George Miller,James Cromwell
Home Fries,Home Fries,15000000,10443316.0,-4556684.0,0,0,1,93.0,Drama,6,"Drama,Comedy,Romance",1998-11-25,Dean Parisot,Drew Barrymore
Ringmaster,Ringmaster,3500000,9247881.0,5747881.0,1,0,1,90.0,Comedy,3,Comedy,1998-11-25,Neil Abramson,Jerry Springer
Very Bad Things,Very Bad Things,30000000,9898412.0,-20101588.0,0,0,1,100.0,Comedy,3,"Comedy,Crime,Thriller",1998-09-11,Peter Berg,Jon Favreau
Psycho,Psycho,60000000,37141130.0,-22858870.0,0,0,1,105.0,Horror,11,"Horror,Mystery,Thriller",1998-12-04,Gus Van Sant,Vince Vaughn
Star Trek: Insurrection,Star Trek: Insurrection,70000000,118000000.0,48000000.0,1,1,1,103.0,Science Fiction,15,"Science Fiction,Action,Adventure,Thriller",1998-12-10,Jonathan Frakes,Patrick Stewart
The Prince of Egypt,The Prince of Egypt,70000000,218613188.0,148613188.0,1,0,2,99.0,Adventure,1,"Adventure,Animation,Drama,Family,Music",1998-12-15,Brenda Chapman,Val Kilmer
Rushmore,Rushmore,9000000,17096053.0,8096053.0,1,0,4,93.0,Comedy,3,"Comedy,Drama",1998-09-17,Wes Anderson,Jason Schwartzman
Shakespeare in Love,Shakespeare in Love,25000000,289317794.0,264317794.0,1,0,1,122.0,Romance,14,"Romance,History",1998-12-11,John Madden,Joseph Fiennes
Santa Claus: The Movie,Santa Claus: The Movie,50000000,23717291.0,-26282709.0,0,0,1,108.0,Family,7,"Family,Fantasy,Adventure,Science Fiction,Comedy",1985-10-29,Jeannot Szwarc,Dudley Moore
Rambo: First Blood Part II,Rambo: First Blood Part II,44000000,300400432.0,256400432.0,1,1,2,96.0,Action,0,"Action,Adventure,Thriller,War",1985-05-21,George P. Cosmatos,Sylvester Stallone
First Blood,First Blood,15000000,125212904.0,110212904.0,1,1,1,93.0,Action,0,"Action,Adventure,Thriller,War",1982-10-22,Ted Kotcheff,Sylvester Stallone
Rambo III,Rambo III,63000000,189015611.0,126015611.0,1,1,2,102.0,Action,0,"Action,Adventure,Thriller,War",1988-05-24,Peter MacDonald,Sylvester Stallone
The Jewel of the Nile,The Jewel of the Nile,25000000,96773200.0,71773200.0,1,1,2,106.0,Action,0,"Action,Adventure,Comedy,Romance",1985-12-04,Lewis Teague,Michael Douglas
Romancing the Stone,Romancing the Stone,10000000,86572238.0,76572238.0,1,1,3,106.0,Action,0,"Action,Adventure,Comedy,Romance",1984-03-30,Robert Zemeckis,Michael Douglas
Cocoon: The Return,Cocoon: The Return,17500000,25024919.0,7524919.0,1,1,1,116.0,Comedy,3,"Comedy,Drama,Science Fiction",1988-09-13,Daniel Petrie,Don Ameche
Rocky II,Rocky II,7000000,200182160.0,193182160.0,1,1,1,119.0,Drama,6,Drama,1979-06-15,Sylvester Stallone,Sylvester Stallone
Rocky III,Rocky III,17000000,270000000.0,253000000.0,1,1,1,99.0,Drama,6,Drama,1982-05-28,Sylvester Stallone,Sylvester Stallone
Rocky IV,Rocky IV,31000000,300473716.0,269473716.0,1,1,1,91.0,Drama,6,Drama,1985-11-21,Sylvester Stallone,Sylvester Stallone
Rocky V,Rocky V,42000000,119946358.0,77946358.0,1,1,1,104.0,Drama,6,Drama,1990-10-18,John G. Avildsen,Sylvester Stallone
Clue,Clue,15000000,14643997.0,-356003.0,0,0,2,94.0,Comedy,3,"Comedy,Thriller,Crime,Mystery",1985-12-13,Jonathan Lynn,Eileen Brennan
The Karate Kid,The Karate Kid,8000000,90815558.0,82815558.0,1,1,1,126.0,Drama,6,Drama,1984-06-22,John G. Avildsen,Ralph Macchio
"The Karate Kid, Part II","The Karate Kid, Part II",113,115103979.0,115103866.0,1,1,1,113.0,Adventure,1,"Adventure,Drama,Action,Romance,Family",1986-06-18,John G. Avildsen,Ralph Macchio
National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,27000000,71320000.0,44320000.0,1,1,1,97.0,Comedy,3,Comedy,1989-12-01,Jeremiah S. Chechik,Chevy Chase
You've Got Mail,You've Got Mail,65000000,250821495.0,185821495.0,1,0,1,119.0,Comedy,3,"Comedy,Romance",1998-12-17,Nora Ephron,Tom Hanks
The Thin Red Line,The Thin Red Line,52000000,98126565.0,46126565.0,1,0,2,170.0,Drama,6,"Drama,History,War",1998-12-25,Terrence Malick,Sean Penn
The Faculty,The Faculty,15000000,40283321.0,25283321.0,1,0,1,104.0,Horror,11,"Horror,Mystery,Science Fiction",1998-12-25,Robert Rodriguez,Jordana Brewster
Patch Adams,Patch Adams,50000000,202292902.0,152292902.0,1,0,1,115.0,Comedy,3,"Comedy,Drama",1998-12-25,Tom Shadyac,Robin Williams
A Civil Action,A Civil Action,70000000,56702901.0,-13297099.0,0,0,1,115.0,Drama,6,Drama,1998-03-05,Steven Zaillian,John Travolta
Tea with Mussolini,Tea with Mussolini,12000000,21001563.0,9001563.0,1,0,3,117.0,Comedy,3,"Comedy,Drama,War",1999-03-25,Franco Zeffirelli,Cher
Affliction,Affliction,6000000,6330054.0,330054.0,1,0,1,114.0,Drama,6,Drama,1997-08-28,Paul Schrader,Nick Nolte
Playing by Heart,Playing by Heart,20000000,3970078.0,-16029922.0,0,0,1,121.0,Drama,6,Drama,1998-12-30,Willard Carroll,Gillian Anderson
Virus,Virus,75000000,14010690.0,-60989310.0,0,0,2,99.0,Horror,11,"Horror,Action,Science Fiction",1999-01-14,John Bruno,Jamie Lee Curtis
Howard the Duck,Howard the Duck,37000000,37962774.0,962774.0,1,0,2,110.0,Comedy,3,"Comedy,Fantasy,Science Fiction",1986-08-01,Willard Huyck,Lea Thompson
The Fly,The Fly,700000,3000000.0,2300000.0,1,1,2,94.0,Drama,6,"Drama,Horror,Science Fiction",1958-07-16,Kurt Neumann,David Hedison
The Fly,The Fly,15000000,60629159.0,45629159.0,1,1,1,96.0,Horror,11,"Horror,Science Fiction",1986-08-15,David Cronenberg,Jeff Goldblum
Armed and Dangerous,Armed and Dangerous,12000000,15945534.0,3945534.0,1,0,1,88.0,Action,0,"Action,Comedy,Crime",1986-08-15,Mark L. Lester,John Candy
The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,85000,30859000.0,30774000.0,1,1,1,83.0,Horror,11,Horror,1974-10-01,Tobe Hooper,Marilyn Burns
The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,4700000,8025872.0,3325872.0,1,1,1,101.0,Horror,11,Horror,1986-08-22,Tobe Hooper,Dennis Hopper
Texas Chainsaw Massacre: The Next Generation,Texas Chainsaw Massacre: The Next Generation,600000,185898.0,-414102.0,0,1,1,95.0,Horror,11,"Horror,Comedy,Thriller",1994-01-01,Kim Henkel,Renée Zellweger
The Name of the Rose,The Name of the Rose,20000000,77200000.0,57200000.0,1,0,2,130.0,Drama,6,"Drama,Thriller,Mystery",1986-09-24,Jean-Jacques Annaud,Sean Connery
Peggy Sue Got Married,Peggy Sue Got Married,18000000,41382841.0,23382841.0,1,0,1,103.0,Comedy,3,"Comedy,Drama,Fantasy,Romance",1986-10-05,Francis Ford Coppola,Nicolas Cage
Crocodile Dundee,Crocodile Dundee,5000000,328203506.0,323203506.0,1,1,1,97.0,Adventure,1,"Adventure,Comedy",1986-09-26,Peter Faiman,Paul Hogan
The Color of Money,The Color of Money,13800000,52293982.0,38493982.0,1,1,2,119.0,Drama,6,Drama,1986-10-07,Martin Scorsese,Paul Newman
Heartbreak Ridge,Heartbreak Ridge,15000000,42724017.0,27724017.0,1,0,2,130.0,Action,0,"Action,Comedy,Drama,War",1986-12-15,Clint Eastwood,Clint Eastwood
She's All That,She's All That,10000000,103166989.0,93166989.0,1,0,1,95.0,Comedy,3,"Comedy,Romance",1999-01-29,Robert Iscove,Freddie Prinze Jr.
"Blood, Guts, Bullets and Octane","Blood, Guts, Bullets and Octane",7300,13674.0,6374.0,1,0,1,87.0,Action,0,"Action,Comedy,Thriller",1998-10-16,Joe Carnahan,Mike Maas
Peeping Tom,Peeping Tom,150000,83957.0,-66043.0,0,0,1,101.0,Horror,11,"Horror,Thriller",1960-04-06,Michael Powell,Karlheinz Böhm
Payback,Payback,90000000,161626121.0,71626121.0,1,0,1,100.0,Drama,6,"Drama,Action,Thriller,Crime",1999-02-05,Brian Helgeland,Mel Gibson
Simply Irresistible,Simply Irresistible,6000000,4398989.0,-1601011.0,0,0,2,95.0,Comedy,3,Comedy,1999-02-05,Mark Tarlov,Sarah Michelle Gellar
Blast from the Past,Blast from the Past,35000000,40263020.0,5263020.0,1,0,4,112.0,Comedy,3,"Comedy,Romance",1999-02-12,Hugh Wilson,Brendan Fraser
Message in a Bottle,Message in a Bottle,80000000,118880016.0,38880016.0,1,0,1,131.0,Romance,14,"Romance,Drama",1999-02-22,Luis Mandoki,Kevin Costner
My Favorite Martian,My Favorite Martian,65000000,36850101.0,-28149899.0,0,0,2,94.0,Comedy,3,"Comedy,Drama,Family,Science Fiction",1999-02-11,Donald Petrie,Jeff Daniels
Jawbreaker,Jawbreaker,3000000,3076820.0,76820.0,1,0,1,87.0,Comedy,3,Comedy,1999-01-30,Darren Stein,Rose McGowan
Office Space,Office Space,10000000,12827813.0,2827813.0,1,0,1,89.0,Comedy,3,"Comedy,Crime",1999-02-19,Mike Judge,Ron Livingston
200 Cigarettes,200 Cigarettes,6000000,6852450.0,852450.0,1,0,1,101.0,Comedy,3,"Comedy,Drama,Romance",1999-02-26,Risa Bramon Garcia,Ben Affleck
8MM,8MM,40000000,96618699.0,56618699.0,1,1,1,123.0,Thriller,17,"Thriller,Crime,Mystery",1999-02-26,Joel Schumacher,Nicolas Cage
Pet Sematary,Pet Sematary,11500000,57469467.0,45969467.0,1,1,1,103.0,Drama,6,"Drama,Horror",1989-04-21,Mary Lambert,Dale Midkiff
Pet Sematary II,Pet Sematary II,8000000,17092453.0,9092453.0,1,1,1,100.0,Horror,11,Horror,1992-08-28,Mary Lambert,Edward Furlong
Children of the Corn II: The Final Sacrifice,Children of the Corn II: The Final Sacrifice,900000,6980986.0,6080986.0,1,1,1,92.0,Horror,11,Horror,1993-01-29,David Price,Terence Knox
Airport,Airport,10000000,100489151.0,90489151.0,1,1,2,137.0,Action,0,"Action,Drama,Thriller",1970-03-05,George Seaton,Burt Lancaster
Airport 1975,Airport 1975,3000000,47000000.0,44000000.0,1,1,2,107.0,Action,0,"Action,Adventure,Drama,Thriller",1974-10-18,Jack Smight,Charlton Heston
Airport '77,Airport '77,6000000,30000000.0,24000000.0,1,1,2,114.0,Action,0,"Action,Adventure,Drama,Thriller",1977-03-11,Jerry Jameson,Jack Lemmon
The Towering Inferno,The Towering Inferno,14000000,116000000.0,102000000.0,1,0,1,159.0,Action,0,"Action,Thriller",1974-12-14,John Guillermin,Steve McQueen
Logan's Run,Logan's Run,9000000,25000000.0,16000000.0,1,0,1,119.0,Adventure,1,"Adventure,Action,Romance,Science Fiction",1976-06-23,Michael Anderson,Michael York
Planet of the Apes,Planet of the Apes,5800000,33395426.0,27595426.0,1,1,1,112.0,Science Fiction,15,"Science Fiction,Adventure,Drama,Action",1968-02-07,Franklin J. Schaffner,Charlton Heston
Beneath the Planet of the Apes,Beneath the Planet of the Apes,3000000,18999718.0,15999718.0,1,1,1,95.0,Adventure,1,"Adventure,Science Fiction,Mystery",1970-05-01,Ted Post,James Franciscus
Battle for the Planet of the Apes,Battle for the Planet of the Apes,1700000,8844595.0,7144595.0,1,1,1,93.0,Action,0,"Action,Science Fiction",1973-06-15,J. Lee Thompson,Roddy McDowall
Conquest of the Planet of the Apes,Conquest of the Planet of the Apes,1700000,9700000.0,8000000.0,1,1,1,88.0,Action,0,"Action,Science Fiction",1972-06-29,J. Lee Thompson,Roddy McDowall
Escape from the Planet of the Apes,Escape from the Planet of the Apes,2500000,12348905.0,9848905.0,1,1,1,98.0,Action,0,"Action,Science Fiction",1971-05-20,Don Taylor,Roddy McDowall
Earthquake,Earthquake,7000000,79666653.0,72666653.0,1,0,1,123.0,Action,0,"Action,Drama,Thriller",1974-11-15,Mark Robson,Charlton Heston
The Concorde... Airport '79,The Concorde... Airport '79,14000000,13015688.0,-984312.0,0,1,3,123.0,Action,0,"Action,Drama,Thriller",1979-08-17,David Lowell Rich,Alain Delon
Analyze This,Analyze This,80000000,176885658.0,96885658.0,1,1,1,103.0,Comedy,3,"Comedy,Crime",1999-03-05,Harold Ramis,Robert De Niro
The Corruptor,The Corruptor,25000000,15156200.0,-9843800.0,0,0,3,110.0,Action,0,"Action,Crime,Mystery,Thriller",1999-03-12,James Foley,Mark Wahlberg
Cruel Intentions,Cruel Intentions,10500000,75902208.0,65402208.0,1,1,3,97.0,Drama,6,"Drama,Romance,Thriller",1999-03-05,Roger Kumble,Sarah Michelle Gellar
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",1350000,3897569.0,2547569.0,1,0,1,105.0,Comedy,3,"Comedy,Crime",1998-03-05,Guy Ritchie,Jason Flemyng
The Deep End of the Ocean,The Deep End of the Ocean,38000000,28121100.0,-9878900.0,0,0,1,106.0,Drama,6,"Drama,Mystery",1999-03-12,Ulu Grosbard,Michelle Pfeiffer
The Rage: Carrie 2,The Rage: Carrie 2,21000000,17762705.0,-3237295.0,0,1,1,104.0,Horror,11,"Horror,Thriller,Science Fiction",1999-03-11,Katt Shea,Emily Bergl
Dead Ringers,Dead Ringers,13000000,8038508.0,-4961492.0,0,0,1,115.0,Drama,6,"Drama,Horror,Thriller",1988-09-23,David Cronenberg,Jeremy Irons
Baby Geniuses,Baby Geniuses,12000000,36450736.0,24450736.0,1,0,2,97.0,Science Fiction,15,"Science Fiction,Comedy,Family",1999-03-12,Bob Clark,Kathleen Turner
Forces of Nature,Forces of Nature,75000000,93888180.0,18888180.0,1,0,1,105.0,Romance,14,"Romance,Comedy",1999-03-12,Bronwen Hughes,Sandra Bullock
The King and I,The King and I,25000000,12000000.0,-13000000.0,0,0,1,87.0,Animation,2,"Animation,Drama,Family",1999-03-19,Richard Rich,Miranda Richardson
The King and I,The King and I,4550000,21300000.0,16750000.0,1,0,3,133.0,Drama,6,"Drama,Music,Romance",1956-06-29,Walter Lang,Deborah Kerr
The Mod Squad,The Mod Squad,50000000,13260050.0,-36739950.0,0,0,1,92.0,Action,0,"Action,Mystery,Thriller",1999-03-26,Scott Silver,Claire Danes
The Matrix,The Matrix,63000000,463517383.0,400517383.0,1,1,1,136.0,Action,0,"Action,Science Fiction",1999-03-30,Lana Wachowski,Keanu Reeves
10 Things I Hate About You,10 Things I Hate About You,16000000,53478166.0,37478166.0,1,0,2,97.0,Comedy,3,"Comedy,Romance,Drama",1999-03-30,Gil Junger,Heath Ledger
The Out-of-Towners,The Out-of-Towners,75000000,29000000.0,-46000000.0,0,0,1,90.0,Comedy,3,Comedy,1999-04-02,Sam Weisman,Steve Martin
Following,Following,6000,48482.0,42482.0,1,0,1,69.0,Crime,4,"Crime,Drama,Thriller",1998-09-12,Christopher Nolan,Jeremy Theobald
Go,Go,6500000,28451622.0,21951622.0,1,0,1,98.0,Crime,4,"Crime,Comedy,Thriller",1999-04-09,Doug Liman,Sarah Polley
Never Been Kissed,Never Been Kissed,25000000,84565230.0,59565230.0,1,0,1,107.0,Romance,14,"Romance,Comedy,Drama",1999-04-09,Raja Gosnell,Drew Barrymore
Twin Dragons,双龙会,10000000,8359717.0,-1640283.0,0,0,3,89.0,Comedy,3,"Comedy,Action",1992-01-15,Tsui Hark,Jackie Chan
Cookie's Fortune,Cookie's Fortune,10000000,10920544.0,920544.0,1,0,1,118.0,Comedy,3,"Comedy,Drama,Thriller",1999-01-22,Robert Altman,Glenn Close
Life,Life,80000000,73345029.0,-6654971.0,0,0,1,108.0,Comedy,3,"Comedy,Crime",1999-04-16,Ted Demme,Eddie Murphy
Open Your Eyes,Abre los ojos,2900000,368234.0,-2531766.0,0,0,1,117.0,Drama,6,"Drama,Thriller",1997-12-19,Alejandro Amenábar,Eduardo Noriega
Lost & Found,Lost & Found,1,100.0,99.0,1,0,1,95.0,Comedy,3,"Comedy,Romance",1999-04-23,Jeff Pollack,David Spade
eXistenZ,eXistenZ,15000000,2856712.0,-12143288.0,0,0,1,97.0,Action,0,"Action,Thriller,Science Fiction,Horror",1999-04-14,David Cronenberg,Jennifer Jason Leigh
Entrapment,Entrapment,66000000,212404396.0,146404396.0,1,0,1,112.0,Romance,14,"Romance,Drama,Mystery",1999-04-29,Jon Amiel,Sean Connery
Idle Hands,Idle Hands,25000000,4152230.0,-20847770.0,0,0,1,92.0,Thriller,17,"Thriller,Comedy,Horror",1999-04-30,Rodman Flender,Devon Sawa
Mildred Pierce,Mildred Pierce,1453000,5638000.0,4185000.0,1,0,2,111.0,Crime,4,"Crime,Drama",1945-09-24,Michael Curtiz,Joan Crawford
Night of the Comet,Night of the Comet,3000000,14418922.0,11418922.0,1,0,1,95.0,Comedy,3,"Comedy,Horror,Science Fiction",1984-11-16,Thom Eberhardt,Catherine Mary Stewart
Dick Tracy,Dick Tracy,47000000,103738726.0,56738726.0,1,0,1,103.0,Adventure,1,"Adventure,Action,Comedy,Thriller,Crime",1990-06-15,Warren Beatty,Warren Beatty
The Mummy,The Mummy,80000000,415885488.0,335885488.0,1,1,2,124.0,Adventure,1,"Adventure,Action,Fantasy",1999-04-16,Stephen Sommers,Brendan Fraser
The Castle,The Castle,786675,861789.0,75114.0,1,0,1,85.0,Drama,6,"Drama,Comedy",1997-04-10,Rob Sitch,Michael Caton
Edge of Seventeen,Edge of Seventeen,1500000,870751.0,-629249.0,0,0,1,99.0,Comedy,3,"Comedy,Drama,Romance",1998-05-14,David Moreton,Chris Stafford
