title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors,actorAwardNominations,actorAwardWins,actorMovies,directorAwardNominations,directorAwardWins,directorMovies
The Spanish Apartment,L'Auberge espagnole,5300000,3897799.0,-1402201.0,0,1,7,122.0,Drama,6,"Drama,Comedy,Romance",2002-05-17,Cédric Klapisch,Romain Duris,13,5,52,13,20,20
Bruce Almighty,Bruce Almighty,80000000,484572835.0,404572835.0,1,1,1,101.0,Fantasy,8,"Fantasy,Comedy",2003-05-23,Tom Shadyac,Jim Carrey,96,48,62,2,2,12
Finding Nemo,Finding Nemo,94000000,940335536.0,846335536.0,1,1,1,100.0,Animation,2,"Animation,Family",2003-05-30,Andrew Stanton,Albert Brooks,34,29,40,65,34,9
The Italian Job,The Italian Job,60000000,176070171.0,116070171.0,1,0,3,110.0,Action,0,"Action,Crime",2003-05-30,F. Gary Gray,Mark Wahlberg,71,22,65,11,6,35
Wrong Turn,Wrong Turn,12600000,28650575.0,16050575.0,1,1,1,84.0,Horror,11,"Horror,Thriller",2003-05-30,Rob Schmidt,Desmond Harrington,5,1,42,4,0,15
2 Fast 2 Furious,2 Fast 2 Furious,76000000,236350661.0,160350661.0,1,1,2,107.0,Action,0,"Action,Crime,Thriller",2003-06-05,John Singleton,Paul Walker,11,7,42,25,15,18
Whale Rider,Whale Rider,8000000,41400000.0,33400000.0,1,0,2,101.0,Drama,6,"Drama,Family",2003-01-30,Niki Caro,Keisha Castle-Hughes,12,11,24,13,22,14
Oscar,Oscar,35000000,23562716.0,-11437284.0,0,0,2,109.0,Action,0,"Action,Comedy,Thriller,Family",1991-04-26,John Landis,Sylvester Stallone,65,59,83,16,10,45
Barton Fink,Barton Fink,9000000,6153939.0,-2846061.0,0,0,1,116.0,Comedy,3,"Comedy,Drama",1991-08-01,Joel Coen,John Turturro,32,20,107,296,138,25
Shattered,Shattered,22000000,11511031.0,-10488969.0,0,0,1,98.0,Mystery,13,"Mystery,Thriller",1991-10-11,Wolfgang Petersen,Tom Berenger,8,7,107,8,12,30
Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515.0,20267515.0,1,1,1,85.0,Comedy,3,Comedy,2003-06-13,Troy Miller,Mimi Rogers,3,1,111,19,8,116
From Justin to Kelly,From Justin to Kelly,12000000,4922166.0,-7077834.0,0,0,1,90.0,Comedy,3,"Comedy,Romance",2003-06-20,Robert Iscove,Kelly Clarkson,31,8,40,6,3,63
Hollywood Homicide,Hollywood Homicide,75000000,51142659.0,-23857341.0,0,0,1,116.0,Action,0,"Action,Adventure,Comedy,Thriller",2003-06-09,Ron Shelton,Harrison Ford,40,41,80,2,7,11
Alex & Emma,Alex & Emma,30000000,15368897.0,-14631103.0,0,0,2,96.0,Comedy,3,"Comedy,Romance",2003-06-16,Rob Reiner,Luke Wilson,4,10,77,28,26,26
28 Days Later,28 Days Later,5000000,82719885.0,77719885.0,1,1,2,113.0,Horror,11,"Horror,Thriller,Science Fiction",2002-10-31,Danny Boyle,Cillian Murphy,36,7,53,84,82,30
Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle,120000000,259175788.0,139175788.0,1,1,3,106.0,Action,0,"Action,Adventure,Comedy",2003-06-27,McG,Cameron Diaz,83,33,55,1,2,40
"Bodies, Rest & Motion","Bodies, Rest & Motion",2500000,764083.0,-1735917.0,0,0,1,95.0,Drama,6,"Drama,Romance",1993-01-10,Michael Steinberg,Phoebe Cates,0,0,19,6,2,6
Never on Sunday,Ποτέ την Κυριακή,151000,8000000.0,7849000.0,1,0,3,91.0,Drama,6,"Drama,Comedy,Romance",1960-05-24,Jules Dassin,Melina Mercouri,7,3,20,9,9,25
Scaramouche,Scaramouche,3005000,6746000.0,3741000.0,1,0,1,115.0,Action,0,"Action,Adventure,Drama",1952-05-08,George Sidney,Stewart Granger,3,3,78,13,9,57
Hulk,Hulk,137000000,245360480.0,108360480.0,1,0,2,138.0,Drama,6,"Drama,Action,Science Fiction",2003-06-19,Ang Lee,Eric Bana,13,8,33,96,103,18
"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",45000000,124914842.0,79914842.0,1,1,1,95.0,Comedy,3,Comedy,2003-07-02,Charles Herman-Wurmfeld,Reese Witherspoon,103,54,59,1,4,10
Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,60000000,26288320.0,-33711680.0,0,0,3,86.0,Family,7,"Family,Animation,Adventure",2003-07-02,Tim Johnson,Brad Pitt,153,67,81,2,6,6
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,200000000,435000000.0,235000000.0,1,1,1,109.0,Action,0,"Action,Thriller,Science Fiction",2003-07-02,Jonathan Mostow,Arnold Schwarzenegger,37,25,71,2,1,12
Swimming Pool,Swimming Pool,7800000,22441323.0,14641323.0,1,0,2,102.0,Thriller,17,"Thriller,Crime",2003-05-18,François Ozon,Charlotte Rampling,52,28,128,79,30,41
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224.0,515011224.0,1,1,1,143.0,Adventure,1,"Adventure,Fantasy,Action",2003-07-09,Gore Verbinski,Johnny Depp,143,79,91,13,9,12
The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,78000000,179265204.0,101265204.0,1,0,3,110.0,Fantasy,8,"Fantasy,Action,Thriller,Science Fiction",2003-07-11,Stephen Norrington,Sean Connery,29,38,93,3,1,4
Bad Boys II,Bad Boys II,130000000,273339556.0,143339556.0,1,1,2,147.0,Adventure,1,"Adventure,Action,Comedy,Thriller,Crime",2003-07-18,Michael Bay,Martin Lawrence,11,5,37,11,8,57
Johnny English,Johnny English,40000000,160583018.0,120583018.0,1,1,3,88.0,Adventure,1,"Adventure,Action,Comedy",2003-04-06,Peter Howitt,Rowan Atkinson,15,7,70,3,6,12
Loose Cannons,Loose Cannons,1500000,5585154.0,4085154.0,1,0,1,94.0,Action,0,"Action,Comedy,Crime,Mystery,Thriller",1990-02-09,Bob Clark,Gene Hackman,41,32,100,9,7,29
Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life,95000000,156505388.0,61505388.0,1,1,2,117.0,Action,0,"Action,Adventure,Fantasy,Thriller",2003-07-21,Jan de Bont,Angelina Jolie,111,56,54,8,1,5
Seabiscuit,Seabiscuit,87000000,148336445.0,61336445.0,1,0,1,141.0,Drama,6,"Drama,History",2003-07-22,Gary Ross,Jeff Bridges,107,46,90,23,12,6
Spy Kids 3-D: Game Over,Spy Kids 3-D: Game Over,38000000,197011982.0,159011982.0,1,1,1,84.0,Action,0,"Action,Adventure,Comedy,Family,Science Fiction",2003-07-25,Robert Rodriguez,Antonio Banderas,41,41,110,28,38,43
Mondays in the Sun,Los lunes al sol,4000000,146402.0,-3853598.0,0,0,2,113.0,Drama,6,Drama,2002-09-27,Fernando León de Aranoa,Javier Bardem,80,102,62,29,48,13
"One, Two, Three","One, Two, Three",3000000,4000000.0,1000000.0,1,0,3,115.0,Comedy,3,"Comedy,Family",1961-12-15,Billy Wilder,James Cagney,5,13,70,61,50,27
The Private Life of Sherlock Holmes,The Private Life of Sherlock Holmes,10000000,1500000.0,-8500000.0,0,0,4,125.0,Adventure,1,"Adventure,Comedy,Crime,Mystery,Romance,Thriller",1970-10-29,Billy Wilder,Robert Stephens,0,0,95,61,50,27
American Wedding,American Wedding,55000000,231449203.0,176449203.0,1,1,1,103.0,Comedy,3,"Comedy,Romance",2003-08-01,Jesse Dylan,Jason Biggs,15,4,51,2,1,19
Gigli,Gigli,54000000,7266209.0,-46733791.0,0,0,1,121.0,Drama,6,Drama,2003-08-01,Martin Brest,Ben Affleck,110,73,70,6,5,9
Freaky Friday,Freaky Friday,26000000,110230332.0,84230332.0,1,0,2,97.0,Comedy,3,Comedy,2003-08-03,Mark Waters,Jamie Lee Curtis,30,12,74,6,1,20
S.W.A.T.,S.W.A.T.,80000000,116643346.0,36643346.0,1,1,3,117.0,Action,0,"Action,Thriller,Crime",2003-08-08,Clark Johnson,Samuel L. Jackson,82,38,182,13,3,65
Freddy vs. Jason,Freddy vs. Jason,30000000,114908830.0,84908830.0,1,1,1,97.0,Horror,11,Horror,2003-08-15,Ronny Yu,Robert Englund,5,4,162,7,4,21
Open Range,Open Range,22000000,68296293.0,46296293.0,1,0,1,139.0,Western,19,Western,2003-08-29,Kevin Costner,Kevin Costner,59,54,61,59,54,3
Uptown Girls,Uptown Girls,20000000,37095657.0,17095657.0,1,0,1,92.0,Comedy,3,Comedy,2003-08-15,Boaz Yakin,Brittany Murphy,19,3,65,3,5,9
Agent Cody Banks,Agent Cody Banks,28000000,58795814.0,30795814.0,1,1,1,102.0,Action,0,Action,2003-03-14,Harald Zwart,Frankie Muniz,27,13,47,1,2,17
House of Wax,House of Wax,658000,23800000.0,23142000.0,1,0,1,90.0,Crime,4,"Crime,Horror,Mystery",1953-04-10,André De Toth,Vincent Price,3,8,207,3,3,44
Man's Best Friend,Man's Best Friend,6000000,12974636.0,6974636.0,1,0,2,97.0,Horror,11,"Horror,Science Fiction,Thriller",1993-11-19,John Lafia,Ally Sheedy,12,4,90,1,1,16
Valley Girl,Valley Girl,350000,17343596.0,16993596.0,1,0,1,99.0,Comedy,3,"Comedy,Romance",1983-04-08,Martha Coolidge,Nicolas Cage,65,45,97,10,8,52
Wait Until Dark,Wait Until Dark,4000000,11000000.0,7000000.0,1,0,1,108.0,Horror,11,"Horror,Crime,Thriller",1967-10-26,Terence Young,Audrey Hepburn,40,24,34,1,1,41
Showdown in Little Tokyo,Showdown in Little Tokyo,8000000,2275557.0,-5724443.0,0,0,2,79.0,Action,0,"Action,Thriller",1991-08-23,Mark L. Lester,Dolph Lundgren,3,3,88,3,3,34
THX 1138,THX 1138,777000,2437000.0,1660000.0,1,0,1,86.0,Drama,6,"Drama,Mystery,Science Fiction",1971-03-11,George Lucas,Robert Duvall,63,57,143,38,64,18
Valley of the Dolls,Valley of the Dolls,5000000,50000000.0,45000000.0,1,0,1,123.0,Music,12,"Music,Drama,Romance",1967-12-27,Mark Robson,Barbara Parkins,2,1,52,11,3,33
The Keep,The Keep,6000000,3661757.0,-2338243.0,0,0,1,96.0,Horror,11,Horror,1983-12-16,Michael Mann,Scott Glenn,1,0,97,36,21,22
"The Beast from 20,000 Fathoms","The Beast from 20,000 Fathoms",210000,5000000.0,4790000.0,1,0,2,80.0,Adventure,1,"Adventure,Horror,Science Fiction",1953-06-13,Eugène Lourié,Paul Hubschmid,1,1,106,2,2,8
Tremors,Tremors,11000000,48572000.0,37572000.0,1,1,1,96.0,Action,0,"Action,Horror",1990-01-19,Ron Underwood,Kevin Bacon,27,15,91,5,0,56
The Pink Panther Strikes Again,The Pink Panther Strikes Again,6000000,33833201.0,27833201.0,1,1,2,103.0,Comedy,3,"Comedy,Mystery",1976-12-15,Blake Edwards,Peter Sellers,20,12,87,24,23,54
Commando,Commando,10000000,57500000.0,47500000.0,1,0,1,90.0,Action,0,"Action,Adventure,Thriller",1985-10-03,Mark L. Lester,Arnold Schwarzenegger,37,25,71,3,3,34
Marci X,Marci X,20000000,1675706.0,-18324294.0,0,0,1,84.0,Comedy,3,Comedy,2003-08-22,Richard Benjamin,Lisa Kudrow,73,13,76,7,2,22
Jeepers Creepers 2,Jeepers Creepers 2,17000000,63102666.0,46102666.0,1,1,1,104.0,Horror,11,"Horror,Thriller",2003-08-08,Victor Salva,Ray Wise,6,4,236,6,2,13
The Order,The Order,35000000,11560806.0,-23439194.0,0,0,1,102.0,Drama,6,"Drama,Fantasy,Horror,Mystery,Romance,Thriller",2003-09-05,Brian Helgeland,Heath Ledger,57,77,23,22,31,8
Party Monster,Party Monster,5000000,742898.0,-4257102.0,0,0,1,98.0,Comedy,3,"Comedy,Drama,Crime",2003-09-05,Fenton Bailey,Seth Green,30,9,184,23,13,28
Cabin Fever,Cabin Fever,1500000,30553394.0,29053394.0,1,1,1,93.0,Horror,11,Horror,2003-08-15,Eli Roth,Rider Strong,8,4,59,9,14,16
Matchstick Men,Matchstick Men,62000000,65565672.0,3565672.0,1,0,1,116.0,Comedy,3,"Comedy,Drama,Crime,Thriller",2003-09-01,Ridley Scott,Nicolas Cage,65,45,97,93,47,48
Once Upon a Time in Mexico,Once Upon a Time in Mexico,29000000,98185582.0,69185582.0,1,1,2,102.0,Action,0,Action,2003-09-11,Robert Rodriguez,Antonio Banderas,41,41,110,28,38,43
Lost in Translation,Lost in Translation,4000000,119723856.0,115723856.0,1,0,2,102.0,Drama,6,Drama,2003-08-31,Sofia Coppola,Bill Murray,79,54,88,77,58,21
Convoy,Convoy,12000000,22765081.0,10765081.0,1,0,1,110.0,Action,0,"Action,Comedy,Drama",1978-06-27,Sam Peckinpah,Kris Kristofferson,5,9,117,7,7,26
Day of the Dead,Day of the Dead,3500000,34000000.0,30500000.0,1,1,1,96.0,Horror,11,"Horror,Science Fiction",1985-07-19,George A. Romero,Lori Cardille,1,1,13,6,16,21
"Hello, Dolly!","Hello, Dolly!",24000000,33208099.0,9208099.0,1,0,1,146.0,Comedy,3,"Comedy,Family,Music,Romance",1969-12-12,Gene Kelly,Barbra Streisand,46,44,24,9,13,17
Memoirs of an Invisible Man,Memoirs of an Invisible Man,40000000,14358033.0,-25641967.0,0,0,1,99.0,Comedy,3,"Comedy,Fantasy,Science Fiction",1992-02-28,John Carpenter,Chevy Chase,9,11,94,19,16,32
The Rose,The Rose,9250000,29174648.0,19924648.0,1,0,1,125.0,Drama,6,"Drama,Music,Romance",1979-11-07,Mark Rydell,Bette Midler,49,31,46,11,7,26
Once Bitten,Once Bitten,3200000,10000000.0,6800000.0,1,0,1,94.0,Horror,11,"Horror,Comedy,Romance",1985-11-15,Howard Storm,Jim Carrey,96,48,62,1,0,50
The Fighting Temptations,The Fighting Temptations,15000000,30238577.0,15238577.0,1,0,1,122.0,Comedy,3,"Comedy,Music,Romance",2003-09-17,Jonathan Lynn,Beyoncé Knowles,153,68,112,1,6,14
Underworld,Underworld,22000000,95708457.0,73708457.0,1,1,1,121.0,Fantasy,8,"Fantasy,Action,Thriller",2003-09-19,Len Wiseman,Kate Beckinsale,34,9,51,1,0,16
Duplex,Duplex,40000000,19322135.0,-20677865.0,0,0,1,89.0,Action,0,"Action,Comedy,Thriller",2003-09-26,Danny DeVito,Ben Stiller,59,13,125,39,14,23
The Rundown,The Rundown,85000000,80916492.0,-4083508.0,0,0,2,104.0,Adventure,1,"Adventure,Action,Comedy,Thriller",2003-09-26,Peter Berg,Dwayne Johnson,52,12,102,19,5,28
Under the Tuscan Sun,Under the Tuscan Sun,18000000,58878723.0,40878723.0,1,0,6,113.0,Romance,14,Romance,2003-04-30,Audrey Wells,Diane Lane,32,16,68,6,2,2
Mambo Italiano,Mambo Italiano,4361898,3031801.0,-1330097.0,0,0,3,92.0,Comedy,3,"Comedy,Romance",2003-06-06,Émile Gaudreault,Luke Kirby,5,0,50,5,3,8
The Triplets of Belleville,Les triplettes de Belleville,8000000,1477676.0,-6522324.0,0,0,2,80.0,Adventure,1,"Adventure,Animation,Comedy,Drama",2003-06-11,Sylvain Chomet,Béatrice Bonifassi,0,0,1,33,22,7
Videodrome,Videodrome,5952000,2120439.0,-3831561.0,0,0,1,87.0,Horror,11,"Horror,Mystery,Science Fiction",1983-02-04,David Cronenberg,James Woods,39,21,143,67,69,42
Lagaan: Once Upon a Time in India,लगान,5200000,8100000.0,2900000.0,1,0,3,224.0,Adventure,1,"Adventure,Drama,Music,Romance",2001-06-15,Ashutosh Gowariker,Aamir Khan,46,35,51,16,30,9
Judgment at Nuremberg,Judgment at Nuremberg,3000000,10000000.0,7000000.0,1,0,1,186.0,Drama,6,"Drama,History",1961-12-01,Stanley Kramer,Spencer Tracy,22,12,79,33,31,20
"Same Time, Next Year","Same Time, Next Year",118,19.0,-99.0,0,0,1,119.0,Comedy,3,"Comedy,Drama,Romance",1978-04-23,Robert Mulligan,Alan Alda,61,41,66,11,6,34
All the President's Men,All the President's Men,8500000,70600000.0,62100000.0,1,0,2,138.0,Drama,6,"Drama,History,Mystery,Thriller",1976-04-04,Alan J. Pakula,Robert Redford,50,40,79,12,14,16
Avalon,Avalon,8000000,8826094.0,826094.0,1,0,1,107.0,Action,0,"Action,Science Fiction",2001-01-20,Mamoru Oshii,Małgorzata Foremniak,1,0,44,10,13,43
Beethoven's 2nd,Beethoven's 2nd,15000000,118243066.0,103243066.0,1,1,1,89.0,Family,7,"Family,Comedy",1993-12-14,Rod Daniel,Charles Grodin,5,4,66,0,0,1
Boyz n the Hood,Boyz n the Hood,6500000,57504069.0,51004069.0,1,0,1,112.0,Crime,4,"Crime,Drama",1991-07-12,John Singleton,Laurence Fishburne,66,25,113,25,15,18
Bugsy,Bugsy,30000000,49114016.0,19114016.0,1,0,1,134.0,Drama,6,"Drama,Crime",1991-12-10,Barry Levinson,Warren Beatty,52,39,34,46,29,40
Consenting Adults,Consenting Adults,18000000,21591728.0,3591728.0,1,0,2,99.0,Crime,4,"Crime,Drama,Mystery",1992-10-16,Alan J. Pakula,Kevin Kline,34,8,65,12,14,16
Where Eagles Dare,Where Eagles Dare,7700000,21000000.0,13300000.0,1,0,2,155.0,Adventure,1,"Adventure,Drama,Action,History,War",1968-12-04,Brian G. Hutton,Richard Burton,23,21,79,0,0,9
Sleeping with the Enemy,Sleeping with the Enemy,19000000,174999005.0,155999005.0,1,0,2,99.0,Drama,6,"Drama,Crime,Thriller",1991-02-08,Joseph Ruben,Julia Roberts,98,59,62,3,4,16
PCU,PCU,9000000,4350774.0,-4649226.0,0,0,1,79.0,Comedy,3,Comedy,1994-04-29,Hart Bochner,Jeremy Piven,25,5,95,0,0,5
The Rookie,The Rookie,10000000,21633874.0,11633874.0,1,0,1,120.0,Action,0,"Action,Crime,Drama,Thriller",1990-12-06,Clint Eastwood,Clint Eastwood,162,148,72,162,148,40
City Heat,City Heat,25000000,38348988.0,13348988.0,1,0,1,93.0,Action,0,"Action,Comedy,Crime",1984-12-05,Richard Benjamin,Clint Eastwood,162,148,72,7,2,22
Into the Night,Into the Night,11400000,6700000.0,-4700000.0,0,0,1,115.0,Comedy,3,"Comedy,Drama,Thriller",1985-02-15,John Landis,Jeff Goldblum,25,12,123,16,10,45
A Rage in Harlem,A Rage in Harlem,8000000,10400000.0,2400000.0,1,0,1,115.0,Crime,4,"Crime,Comedy",1991-05-03,Bill Duke,Forest Whitaker,56,56,126,7,6,62
More American Graffiti,More American Graffiti,2500000,15014674.0,12514674.0,1,1,1,110.0,Comedy,3,"Comedy,Drama,War",1979-08-03,Bill L. Norton,Candy Clark,3,3,69,1,1,52
The Gun in Betty Lou's Handbag,The Gun in Betty Lou's Handbag,13000000,3721911.0,-9278089.0,0,0,1,89.0,Comedy,3,"Comedy,Thriller,Mystery",1992-08-21,Allan Moyle,Penelope Ann Miller,6,3,81,4,5,13
Article 99,Article 99,18000000,6375979.0,-11624021.0,0,0,1,100.0,Comedy,3,"Comedy,Drama",1992-03-13,Howard Deutch,Ray Liotta,10,9,115,1,1,40
Tough Guys Don't Dance,Tough Guys Don't Dance,5000000,858250.0,-4141750.0,0,0,1,110.0,Drama,6,"Drama,Comedy,Crime,Mystery,Thriller",1987-09-18,Norman Mailer,"""Ryan ONeal""",10,5,65,2,4,4
There Goes My Baby,There Goes My Baby,10500000,123509.0,-10376491.0,0,0,1,99.0,Drama,6,"Drama,Comedy",1994-09-02,Floyd Mutrux,Dermot Mulroney,9,7,113,0,0,5
Kingdom of the Spiders,Kingdom of the Spiders,500000,17000000.0,16500000.0,1,0,1,97.0,Horror,11,"Horror,Science Fiction",1977-08-24,"""John Bud Cardos""",William Shatner,43,25,238,1,1,11
In Cold Blood,In Cold Blood,3500000,13007551.0,9507551.0,1,0,1,134.0,Crime,4,"Crime,Drama",1967-12-14,Richard Brooks,Robert Blake,13,6,163,2,0,2
Mobsters,Mobsters,23000000,20246790.0,-2753210.0,0,0,4,104.0,Drama,6,"Drama,Action,Thriller,Crime",1991-07-26,Michael Karbelnikoff,Christian Slater,18,8,124,0,0,3
Out of Time,Out of Time,50000000,55495563.0,5495563.0,1,0,1,105.0,Thriller,17,"Thriller,Crime,Drama",2003-10-03,Carl Franklin,Denzel Washington,168,83,56,11,11,32
School of Rock,School of Rock,35000000,131282949.0,96282949.0,1,0,1,108.0,Comedy,3,"Comedy,Music",2003-10-03,Richard Linklater,Jack Black,48,12,153,145,111,29
The Station Agent,The Station Agent,500000,8679814.0,8179814.0,1,0,1,88.0,Drama,6,"Drama,Comedy",2003-01-26,Tom McCarthy,Peter Dinklage,51,19,76,98,76,7
Wonderland,Wonderland,5000000,2466444.0,-2533556.0,0,0,1,104.0,Crime,4,"Crime,Drama,Mystery,Thriller",2003-10-23,James Cox,Val Kilmer,13,6,98,2,2,7
Mystic River,Mystic River,25000000,156822020.0,131822020.0,1,0,1,138.0,Thriller,17,"Thriller,Crime,Drama,Mystery",2003-10-07,Clint Eastwood,Sean Penn,108,73,66,162,148,40
House of the Dead,House of the Dead,7000000,13818181.0,6818181.0,1,1,1,90.0,Horror,11,"Horror,Action,Thriller",2003-04-11,Uwe Boll,Jonathan Cherry,1,0,37,6,5,32
Intolerable Cruelty,Intolerable Cruelty,60000000,119940815.0,59940815.0,1,0,2,100.0,Crime,4,"Crime,Comedy,Romance",2003-09-02,Joel Coen,George Clooney,200,90,89,296,138,25
Kill Bill: Vol. 1,Kill Bill: Vol. 1,30000000,180949000.0,150949000.0,1,1,3,111.0,Action,0,"Action,Crime",2003-10-10,Quentin Tarantino,Uma Thurman,65,26,64,179,139,21
Runaway Jury,Runaway Jury,60000000,80154140.0,20154140.0,1,0,3,127.0,Drama,6,"Drama,Thriller",2003-10-09,Gary Fleder,John Cusack,20,8,85,3,3,43
The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,9500000,107071655.0,97571655.0,1,1,1,98.0,Horror,11,Horror,2003-10-17,Marcus Nispel,Jessica Biel,26,6,47,4,0,62
Sylvia,Sylvia,7000000,10000000.0,3000000.0,1,0,1,109.0,Drama,6,"Drama,Romance",2003-10-17,Christine Jeffs,Gwyneth Paltrow,51,23,56,6,1,5
Veronica Guerin,Veronica Guerin,17000000,1569918.0,-15430082.0,0,0,1,98.0,Drama,6,"Drama,Crime,Thriller",2003-07-11,Joel Schumacher,Cate Blanchett,187,152,70,9,9,34
In the Cut,In the Cut,12000000,23.0,-11999977.0,0,0,1,119.0,Mystery,13,"Mystery,Thriller",2003-09-09,Jane Campion,Meg Ryan,30,15,49,50,53,18
Radio,Radio,32000000,52277485.0,20277485.0,1,0,1,109.0,Drama,6,Drama,2003-10-24,Mike Tollin,Cuba Gooding Jr.,43,17,85,9,6,18
Scary Movie 3,Scary Movie 3,48000000,220673217.0,172673217.0,1,1,1,84.0,Comedy,3,Comedy,2003-10-24,David Zucker,Pamela Anderson,9,2,49,2,4,14
Elephant,Elephant,3000000,10012022.0,7012022.0,1,0,1,81.0,Drama,6,"Drama,Crime",2003-05-18,Gus Van Sant,Alex Frost,1,1,18,62,43,50
Shattered Glass,Shattered Glass,6000000,2944752.0,-3055248.0,0,0,3,94.0,Drama,6,"Drama,History",2003-11-14,Billy Ray,Hayden Christensen,19,10,35,29,2,4
The Matrix Revolutions,The Matrix Revolutions,150000000,424988211.0,274988211.0,1,1,2,129.0,Adventure,1,"Adventure,Action,Thriller,Science Fiction",2003-11-05,Lilly Wachowski,Keanu Reeves,22,12,96,23,11,11
Elf,Elf,32000000,173398518.0,141398518.0,1,0,1,97.0,Comedy,3,"Comedy,Family,Fantasy",2003-10-09,Jon Favreau,Will Ferrell,72,14,107,11,7,21
Love Actually,Love Actually,40000000,244931766.0,204931766.0,1,0,3,135.0,Comedy,3,"Comedy,Romance,Drama",2003-09-07,Richard Curtis,Keira Knightley,97,30,57,36,20,5
Looney Tunes: Back in Action,Looney Tunes: Back in Action,80000000,68514844.0,-11485156.0,0,0,1,90.0,Animation,2,"Animation,Comedy,Family",2003-11-14,Joe Dante,Brendan Fraser,11,8,70,11,18,40
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,150000000,212011111.0,62011111.0,1,0,3,138.0,Adventure,1,Adventure,2003-11-14,Peter Weir,Russell Crowe,74,36,58,59,42,30
Tupac: Resurrection,Tupac: Resurrection,300000,7808524.0,7508524.0,1,0,1,112.0,Music,12,"Music,Documentary",2003-01-23,Lauren Lazin,Tupac Amaru Shakur,0,0,1,16,5,23
Gothika,Gothika,40000000,141591324.0,101591324.0,1,0,1,98.0,Horror,11,"Horror,Thriller",2003-11-21,Mathieu Kassovitz,Halle Berry,82,43,56,14,14,12
21 Grams,21 Grams,20000000,60427839.0,40427839.0,1,0,1,124.0,Drama,6,"Drama,Crime,Thriller",2003-09-06,Alejandro González Iñárritu,Sean Penn,108,73,66,156,121,15
The Barbarian Invasions,Les Invasions barbares,8000000,3432342.0,-4567658.0,0,0,2,99.0,Comedy,3,"Comedy,Crime,Drama",2003-05-21,Denys Arcand,Rémy Girard,12,5,105,23,44,28
Bad Santa,Bad Santa,23000000,76488889.0,53488889.0,1,1,1,91.0,Drama,6,"Drama,Comedy,Crime",2003-11-26,Terry Zwigoff,Billy Bob Thornton,54,32,93,26,16,8
The Haunted Mansion,The Haunted Mansion,90000000,182290266.0,92290266.0,1,0,1,87.0,Thriller,17,"Thriller,Fantasy,Comedy,Family,Mystery",2003-11-25,Rob Minkoff,Eddie Murphy,73,33,56,5,1,14
Timeline,Timeline,80000000,43935763.0,-36064237.0,0,0,2,116.0,Action,0,"Action,Adventure,Science Fiction",2003-11-26,Richard Donner,Paul Walker,11,7,42,7,9,80
Darkman,Darkman,16000000,48878502.0,32878502.0,1,1,1,96.0,Action,0,"Action,Science Fiction,Crime",1990-08-24,Sam Raimi,Liam Neeson,40,23,128,20,14,36
New Jack City,New Jack City,8500000,47624253.0,39124253.0,1,0,1,97.0,Thriller,17,"Thriller,Crime,Drama",1991-03-08,Mario Van Peebles,Wesley Snipes,12,9,65,13,7,43
WarGames,WarGames,12000000,79567667.0,67567667.0,1,1,1,114.0,Thriller,17,"Thriller,Science Fiction",1983-06-03,John Badham,Matthew Broderick,15,4,77,7,5,66
Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,3900000,9000000.0,5100000.0,1,0,1,143.0,Adventure,1,"Adventure,Drama",1925-12-30,Charles Brabin,Ramon Novarro,2,2,63,0,0,122
Hannah and Her Sisters,Hannah and Her Sisters,6400000,40084041.0,33684041.0,1,0,1,107.0,Comedy,3,"Comedy,Drama",1986-02-07,Woody Allen,Woody Allen,213,136,48,213,136,55
Highlander II: The Quickening,Highlander II: The Quickening,30000000,15556340.0,-14443660.0,0,1,1,91.0,Action,0,"Action,Fantasy,Science Fiction",1991-01-30,Russell Mulcahy,Christopher Lambert,1,1,87,5,3,111
Hudson Hawk,Hudson Hawk,65000000,17218080.0,-47781920.0,0,0,2,100.0,Action,0,"Action,Adventure,Comedy",1991-05-23,Michael Lehmann,Bruce Willis,38,22,119,7,4,48
Invasion of the Body Snatchers,Invasion of the Body Snatchers,3500000,24046533.0,20546533.0,1,0,2,115.0,Horror,11,"Horror,Mystery,Science Fiction,Thriller",1978-12-19,Philip Kaufman,Donald Sutherland,30,18,190,17,15,13
Kindergarten Cop,Kindergarten Cop,15000000,201957688.0,186957688.0,1,1,2,111.0,Comedy,3,Comedy,1990-12-21,Ivan Reitman,Arnold Schwarzenegger,37,25,71,12,8,22
The Last Boy Scout,The Last Boy Scout,29000000,59509925.0,30509925.0,1,0,1,105.0,Action,0,"Action,Thriller",1991-12-11,Tony Scott,Bruce Willis,38,22,119,15,6,29
